F检验,不适用―要求正态分布,,,卡方分布,,,互信息,
f1,inf,,,f1,inf,,f4,0.168057063
f2,inf,,,f2,inf,,f5,0.1191013
f4,inf,,,f3,inf,,f6,0.116364296
f5,inf,,,f4,inf,,f1,0.065830749
f6,inf,,,f5,inf,,f2,0.046540632
f30,175.764037,,,f6,inf,,f3,0.014925613
f19,155.932034,,,f7,inf,,f19,0.013804698
f3,155.307449,,,f8,inf,,f30,0.010649183
f24,131.42425,,,f9,inf,,f37,0.008680093
f8,113.837204,,,f10,inf,,f24,0.007691806
f23,96.488123,,,f11,inf,,f7,0.006349649
f37,79.875362,,,f12,inf,,f23,0.006349037
f7,57.218632,,,f13,inf,,f8,0.005833786
f26,53.780255,,,f14,inf,,f26,0.005409739
f33,31.868464,,,f15,inf,,f18,0.004473422
f18,22.941458,,,f16,inf,,f25,0.004200344
f29,15.251857,,,f17,inf,,f46,0.003985109
f35,12.732026,,,f18,inf,,f20,0.003374638
f25,12.112522,,,f19,inf,,f12,0.002892913
f9,10.988196,,,f20,inf,,f40,0.002800761
f10,7.289376,,,f21,inf,,f33,0.002613774
f43,2.564831,,,f22,inf,,f41,0.002494545
f44,2.335947,,,f23,264.87,,f45,0.002351219
f32,2.107878,,,f24,174.51,,f43,0.002341659
f34,1.912669,,,f25,173.56,,f9,0.001802418
f46,1.874256,,,f26,141.87,,f31,0.001207481
f21,1.608544,,,f27,120.25,,f28,0.001197407
f31,1.366445,,,f28,105.08,,f22,0.000628713
f14,1.145756,,,f29,104.61,,f35,0.000571827
f38,0.726114,,,f30,93.54,,f13,0.000416931
f40,0.611198,,,f31,55.91,,f44,0.000313093
f39,0.546004,,,f32,51.67,,f10,0
f13,0.530808,,,f33,37.15,,f11,0
f17,0.477862,,,f34,27.85,,f14,0
f16,0.44999,,,f35,25.27,,f15,0
f45,0.320445,,,f36,10.46,,f16,0
f11,0.251822,,,f37,10.16,,f17,0
f27,0.249937,,,f38,8.16,,f21,0
f15,0.233448,,,f39,6.89,,f27,0
f22,0.1919,,,f40,4.25,,f29,0
f36,0.133487,,,f41,3.75,,f32,0
f20,0.050692,,,f42,1.04,,f34,0
f12,0.041138,,,f43,0.61,,f36,0
f42,0.032873,,,f44,0.49,,f38,0
f41,0.022725,,,f45,0.28,,f39,0
f28,0.01173,,,f46,0.16,,f42,0
